subfamily	family	orientation	n_copies	n_copies_total	median_log2fc	bg_median_log2fc	delta_vs_bg	frac_positive	median_input_dens	p	q
L1P2	L1	sense	222	1524	2.19089	-0.330097	2.52099	0.815315	0.612081	1.13596e-48	7.87427e-48
L1PA2	L1	sense	777	4867	2.18284	-0.330097	2.51294	0.777349	0.291703	2.6415e-153	7.32416e-152
L1HS	L1	sense	186	1528	1.9218	-0.330097	2.2519	0.77957	0.261511	1.35573e-35	7.00842e-35
L1PA3	L1	sense	1458	10565	1.7968	-0.330097	2.1269	0.748971	0.319259	2.02341e-232	1.35101e-230
L1PA6	L1	sense	707	5849	1.75654	-0.330097	2.08664	0.704385	0.642028	6.07708e-87	8.42505e-86
L1PBa1	L1	sense	39	404	1.54048	-0.330097	1.87057	0.820513	0.341154	7.11096e-09	1.4754e-08
L1PA7	L1	sense	1629	12897	1.5114	-0.330097	1.8415	0.715777	0.618093	6.57904e-203	2.86658e-201
SVA_B	SVA	antisense	160	466	0.00450442	-1.75928	1.76378	0.5	1.06255	1.46397e-41	8.75513e-41
L1P1	L1	sense	489	3085	1.40639	-0.330097	1.73649	0.687117	0.512202	1.48016e-50	1.12862e-49
L1P4a	L1	sense	53	560	1.37004	-0.330097	1.70014	0.735849	0.330318	6.6927e-08	1.31695e-07
SVA_A	SVA	antisense	66	258	-0.0682728	-1.75928	1.69101	0.439394	0.516996	9.6971e-17	2.5944e-16
SVA_C	SVA	antisense	126	281	-0.0759358	-1.75928	1.68334	0.468254	0.826032	7.32888e-34	3.49267e-33
L1PA4	L1	sense	1480	11763	1.25098	-0.330097	1.58107	0.672297	0.485307	5.17625e-141	1.31563e-139
L1M2c	L1	sense	41	431	1.24249	-0.330097	1.57258	0.756098	1.11969	3.79082e-06	6.56932e-06
SVA_D	SVA	antisense	479	1373	-0.20526	-1.75928	1.55402	0.390397	0.551808	7.68706e-86	1.01937e-84
L1PBa	L1	sense	231	2184	1.20858	-0.330097	1.53867	0.753247	0.553191	1.9961e-28	7.70646e-28
L1PB1	L1	sense	1489	13229	1.19393	-0.330097	1.52402	0.680322	0.540982	1.17633e-123	2.39187e-122
SVA_B	SVA	sense	54	466	1.14881	-0.330097	1.4789	0.666667	0.39614	1.20991e-06	2.23034e-06
L1PA5	L1	sense	1524	11171	1.07278	-0.330097	1.40287	0.654856	0.611711	1.15382e-127	2.51368e-126
L1PA8A	L1	sense	262	2466	1.00298	-0.330097	1.33308	0.671756	0.654698	1.49209e-20	4.50582e-20
SVA_D	SVA	sense	187	1373	0.955295	-0.330097	1.28539	0.695187	0.292811	8.99243e-20	2.66281e-19
L1PBb	L1	sense	20	264	0.929412	-0.330097	1.25951	0.6	0.290134	0.031088	0.0405206
SVA_C	SVA	sense	41	281	0.894059	-0.330097	1.22416	0.658537	0.305995	0.000239241	0.000363027
L1M3f	L1	sense	93	696	0.880096	-0.330097	1.21019	0.634409	1.15775	1.87154e-06	3.39773e-06
L1PA14	L1	sense	372	3040	0.87368	-0.330097	1.20378	0.647849	0.850444	2.59968e-21	8.17425e-21
L1P3	L1	sense	432	3327	0.873257	-0.330097	1.20335	0.604167	0.661816	2.71426e-15	6.95672e-15
SVA_A	SVA	sense	34	258	0.858407	-0.330097	1.1885	0.588235	0.808596	0.0124189	0.0166862
L1PB	L1	sense	258	1752	0.770662	-0.330097	1.10076	0.604651	0.745995	1.40876e-07	2.71945e-07
L1PA2	L1	antisense	745	4867	-0.66068	-1.75928	1.0986	0.320805	0.468854	8.7521e-63	7.85115e-62
L1MA3	L1	sense	1073	8904	0.736126	-0.330097	1.06622	0.618826	0.848582	1.71946e-36	9.042e-36
L1M2a	L1	sense	54	534	0.692408	-0.330097	1.0225	0.666667	0.835438	0.00144617	0.00211043
L1PB2	L1	sense	321	2828	0.680022	-0.330097	1.01012	0.626168	0.683761	1.33727e-14	3.29853e-14
L1PA8	L1	sense	854	7998	0.649443	-0.330097	0.97954	0.600703	0.683874	1.18504e-34	5.82964e-34
L1PREC2	L1	sense	937	7756	0.611899	-0.330097	0.941996	0.604055	0.807335	4.56713e-32	2.14304e-31
L1PA15-16	L1	sense	153	1368	0.608098	-0.330097	0.938195	0.633987	0.508135	5.50121e-07	1.04215e-06
L1PB3	L1	sense	419	3578	0.58966	-0.330097	0.919757	0.610979	0.745361	1.32257e-13	3.17625e-13
L1PA11	L1	sense	484	4107	0.581892	-0.330097	0.911989	0.586777	0.871402	3.82593e-16	9.97358e-16
